Input Set;Dimensionality;Family;Fitting Strategy;Container Splitting Strategy;Object Ordering;Container Size;Average Fulfillent;Quality;Execution Time [ms];Containers Used;Total Object Amount
mm.3Dset;ThreeDimensional;Shelf;NextFit;None;ByVolume;60x60x60;0,39344537037037;2,54164891826951;7;20;2000
mm.3Dset;ThreeDimensional;Shelf;FirstFit;None;ByVolume;60x60x60;0,562064814814815;1,77915424278866;31;14;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MinVolumeSplitRule;ByVolume;60x60x60;0,562064814814815;1,77915424278866;45;14;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,524593827160494;1,90623668870214;42;15;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerAxisSplitRule;ByVolume;60x60x60;0,524593827160494;1,90623668870214;43;15;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,524593827160494;1,90623668870214;42;15;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,60530056980057;1,65207179687518;40;13;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,562064814814815;1,77915424278866;48;14;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MinVolumeSplitRule;ByVolume;60x60x60;0,437161522633745;2,28748402644256;72;18;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,327871141975309;3,04997870192342;75;24;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerAxisSplitRule;ByVolume;60x60x60;0,245903356481481;4,06663826923122;82;32;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,218580761316872;4,57496805288512;87;36;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,151325142450142;6,60828718750074;101;52;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,218580761316872;4,57496805288512;89;36;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;MinVolumeSplitRule;ByVolume;60x60x60;0,655742283950617;1,52498935096171;47;12;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,562064814814815;1,77915424278866;43;14;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;ByVolume;60x60x60;0,60530056980057;1,65207179687518;46;13;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,562064814814815;1,77915424278866;42;14;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,60530056980057;1,65207179687518;38;13;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,655742283950617;1,52498935096171;49;12;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;MinVolumeSplitRule;ByVolume;60x60x60;0,135670817369093;7,37078186298159;165;58;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,115719226579521;8,64160632211635;164;68;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;LongerAxisSplitRule;ByVolume;60x60x60;0,0763971592952176;13,089491929088;170;103;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,0566108446576073;17,6644599819731;205;139;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,104918765432099;9,53118344351068;179;75;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstShortSideFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,12490329218107;8,00619409254897;174;63;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;MinVolumeSplitRule;ByVolume;60x60x60;0,524593827160494;1,90623668870214;49;15;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,491806712962963;2,03331913461561;46;16;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;LongerAxisSplitRule;ByVolume;60x60x60;0,562064814814815;1,77915424278866;48;14;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,491806712962963;2,03331913461561;47;16;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,562064814814815;1,77915424278866;47;14;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestLongSideFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,655742283950617;1,52498935096171;42;12;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;MinVolumeSplitRule;ByVolume;60x60x60;0,414153021442495;2,41456647235604;74;19;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;MaxVolumeSplitRule;ByVolume;60x60x60;0,37470987654321;2,66873136418299;69;21;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;LongerAxisSplitRule;ByVolume;60x60x60;0,37470987654321;2,66873136418299;73;21;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;LongerLeftoverAxisSplitRule;ByVolume;60x60x60;0,314756296296296;3,17706114783689;78;25;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;ShorterAxisSplitRule;ByVolume;60x60x60;0,20176685660019;4,95621539062555;89;39;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstLongSideFit;ShorterLeftoverAxisSplitRule;ByVolume;60x60x60;0,314756296296296;3,17706114783689;87;25;2000
mm.3Dset;ThreeDimensional;Shelf;NextFit;None;ByVolume;80x80x80;0,368855034722222;2,71109217948748;7;9;2000
mm.3Dset;ThreeDimensional;Shelf;FirstFit;None;ByVolume;80x80x80;0,4742421875;2,10862725071249;30;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MinVolumeSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;47;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;MaxVolumeSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;39;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerAxisSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;46;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;37;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterAxisSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;38;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;49;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MinVolumeSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;72;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;MaxVolumeSplitRule;ByVolume;80x80x80;0,23712109375;4,21725450142497;78;14;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerAxisSplitRule;ByVolume;80x80x80;0,144334578804348;6,92834668091245;83;23;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;LongerLeftoverAxisSplitRule;ByVolume;80x80x80;0,114472252155172;8,73574146723744;92;29;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterAxisSplitRule;ByVolume;80x80x80;0,103740478515625;9,63943886039993;106;32;2000
mm.3Dset;ThreeDimensional;GuillotineCut;WorstVolumeFit;ShorterLeftoverAxisSplitRule;ByVolume;80x80x80;0,184427517361111;5,42218435897496;83;18;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;MinVolumeSplitRule;ByVolume;80x80x80;0,553282552083333;1,80739478632499;50;6;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;MaxVolumeSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;39;7;2000
mm.3Dset;ThreeDimensional;GuillotineCut;BestShortSideFit;LongerAxisSplitRule;ByVolume;80x80x80;0,4742421875;2,10862725071249;44;7;2000
